id  nr_trans data		 kwota  rodzaj  konto
0 0 0000000000 0 0 0000000000000000000000000000
1 111 04.01.2002 120 + PL70141020060000320009264671
2 112 16.10.2018 40 + PL57206000029408725147765044
3 113 04.01.2022 230 - PL90901300034229665334218074
4 114 05.01.2009 1150 - PL44103013804506371588976496
5 115 05.01.2009 89.99 - PL93124067421855667894933930
6 116 06.01.2023 99 + PL93124067421855667894933930
7 117 06.01.2023 110.55 - PL85893800062242860506065537
8 118 06.01.2023 111 + PL44103013804506371588976496
9 119 06.01.2023 15 + PL92193011906181655066157483
10 120 06.01.2022 130 - PL92193011906181655066157483
11 121 06.01.2022 1120 + PL92193011906181655066157483
12 122 04.02.2022 200 - PL93124067421855667894933930
13 123 04.02.2022 200 + PL68881100069500059958571920
14 124 04.02.2022 200 - PL68881100069500059958571920
15 125 04.02.2023 200 + PL90901300034229665334218074
16 126 04.02.2023 200 - PL90901300034229665334218074
17 127 04.02.2023 200 + PL85893800062242860506065537
18 128 04.02.2023 200 - PL85893800062242860506065537
19 129 04.02.2023 200 + PL93124067421855667894933930
20 130 04.02.2023 200 - PL70141020060000320009264671
21 131 04.02.2023 200 + PL57206000029408725147765044
22 132 04.02.2023 150 - PL57206000029408725147765044
23 133 04.02.2023 150 + PL93124067421855667894933930
24 134 04.02.2023 100 - PL93124067421855667894933930
25 135 04.02.2023 100 + PL68881100069500059958571920
26 136 04.02.2023 50 - PL68881100069500059958571920
27 137 04.02.2023 50 + PL70141020060000320009264671
28 138 05.02.2023 1250 + PL70141020060000320009264671
29 139 05.02.2023 1000 - PL93124067421855667894933930
30 140 05.02.2023 1000 + PL70141020060000320009264671
31 141 05.02.2023 1200 - PL70141020060000320009264671
32 142 05.02.2023 1000 + PL68881100069500059958571920
33 143 05.02.2023 100 - PL00124018356070388029864728
34 144 05.02.2023 400 + PL70141020060000320009264671
35 145 05.02.2023 400 - PL70141020060000320009264671
36 146 028.012.2023 300 + PL57206000029408725147765044
37 147 028.012.2023 550 - PL57206000029408725147765044
38 148 028.012.2023 120 - PL57206000029408725147765044
39 149 028.012.2023 120 + PL68881100069500059958571920
